,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
GLUCOSE_MEASURE__std,-0.017234314,-0.26484483,-0.22772567,0.10663908,0.35651207,0.073053464,-0.2963328,0.08092417
HEART_RATE_MEASURE__std,-0.071177825,-0.17614041,0.028547008,0.0034274445,-0.35797045,0.039005365,0.014790999,0.06232945
HEMATOCRIT_MEASURE__std,-0.02658539,-0.0018000896,0.001771324,0.043916337,-0.0810395,0.036497723,-0.030862976,-0.020337706
HEMOGLOBIN_MEASURE__std,0.046003763,-0.035534162,-0.0031603742,-0.07280715,-0.0018986205,-0.019828875,0.02094851,-0.08419209
HEPARIN_IV_BITZUA__std,-0.042336404,-0.08201456,0.016439416,0.026122984,-0.2598892,0.015899304,0.036694814,-0.10172239
HYPERGLYCEMIA_EVENT__std,0.0037710294,-0.023810806,-0.011506568,-0.015729075,0.023252675,0.005234596,-0.016297715,-0.017349651
HYPERTONIC_SALINE_BITZUA__std,0.032096703,-0.04071329,-0.026856616,-0.0032182226,-0.17005569,0.037580896,-0.062512666,-0.10279207
HYPOGLYCEMIA_EVENT__std,-0.008623289,-0.012373169,0.0067633395,0.014448095,0.009819524,0.008318485,-0.010383804,0.016616404
INFECTION_EVENT__std,0.010405232,-0.024376193,-0.020287503,0.017015118,-0.02216532,0.01476794,0.014770647,-0.019995656
INFECTION_WBC_MEASURE__std,-0.06876864,0.023827257,0.104877114,0.10303521,-0.11338362,0.050109703,0.018417362,0.034200143
KETONES_SERUM_MEASURE__std,0.018594999,0.07367067,0.09309713,-0.099651694,0.060765725,-0.055668805,0.015874438,-0.15519735
KETONES_URINE_MEASURE__std,-0.013352534,-0.041212644,-0.11551636,-0.123390414,-0.044035725,-0.014870529,-0.03083421,0.015501796
KIDNEY_COMPLICATION_EVENT__std,0.017768124,0.0001701442,-0.025142062,-0.0042679366,0.000104699655,0.016847033,0.008258166,0.024082651
KIDNEY_COMPLICATION_OBS__std,-0.012609783,0.023015311,0.023562945,0.009801151,-0.007977361,-0.02376493,-0.0016868546,0.002162469
MEAL_Breakfast__std,0.015802616,0.0070346757,0.0019579849,0.0056137154,-0.017618697,-0.014672152,0.022689743,0.014984102
MEAL_Dinner__std,-0.022691306,-0.010826139,0.012812653,0.016063917,-0.015957337,-0.011889491,0.024745068,0.0024644285
MEAL_Lunch__std,-0.0061059794,0.0050518494,-0.019254241,-0.02358524,-0.017991314,0.0015470891,-0.013227973,-0.024230335
MEAL_Night-Snack__std,0.0022070813,-0.013341942,0.015222261,-0.023937203,-0.019270148,-0.019159876,0.025108261,-0.015799653
